bin_count,bin_freq,bin_range,x_value,bin_number
1,0.01,"(-1.625, -1.506]",-1.625,1
2,0.02,"(-1.506, -1.387]",-1.506,2
0,0.0,"(-1.387, -1.267]",-1.387,3
1,0.01,"(-1.267, -1.148]",-1.267,4
0,0.0,"(-1.148, -1.029]",-1.148,5
0,0.0,"(-1.029, -0.909]",-1.029,6
0,0.0,"(-0.909, -0.79]",-0.909,7
0,0.0,"(-0.79, -0.67]",-0.79,8
3,0.03,"(-0.67, -0.551]",-0.67,9
2,0.02,"(-0.551, -0.432]",-0.551,10
5,0.05,"(-0.432, -0.312]",-0.432,11
10,0.1,"(-0.312, -0.193]",-0.312,12
13,0.13,"(-0.193, -0.0736]",-0.193,13
22,0.22,"(-0.0736, 0.0457]",-0.0736,14
15,0.15,"(0.0457, 0.165]",0.0457,15
12,0.12,"(0.165, 0.284]",0.165,16
5,0.05,"(0.284, 0.404]",0.284,17
2,0.02,"(0.404, 0.523]",0.404,18
5,0.05,"(0.523, 0.643]",0.523,19
2,0.02,"(0.643, 0.762]",0.643,20
